age,sex,province,education,marital_status,n,educ,agegroup
15,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",5,Less than high school,35 or less
15,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
15,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",4,Less than high school,35 or less
15,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
15,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Female,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Female,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Female,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",4,Less than high school,35 or less
15,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",4,Less than high school,35 or less
15,Male,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,New Brunswick,"NA","Single, never married",1,No schooling,35 or less
15,Male,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
15,Male,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
15,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Female,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,British Columbia,University certificate or diploma below the bachelor's level,"Single, never married",1,Bachelor's degree,35 or less
16,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Male,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Male,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Male,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Male,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Male,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",5,Less than high school,35 or less
16,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Female,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Alberta,Less than high school diploma or its equivalent,"Single, never married",4,Less than high school,35 or less
16,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",7,Less than high school,35 or less
16,Male,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",6,Less than high school,35 or less
16,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
16,Female,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
16,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
16,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
16,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",3,High school,35 or less
17,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
17,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",4,Less than high school,35 or less
17,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
17,Male,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Female,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
17,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",6,Less than high school,35 or less
17,Female,Prince Edward Island,"NA","Single, never married",1,No schooling,35 or less
17,Female,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,Alberta,"NA","Single, never married",1,No schooling,35 or less
17,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",4,Less than high school,35 or less
17,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Female,Alberta,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Female,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",2,High school,35 or less
17,Female,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",3,Less than high school,35 or less
17,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",5,Less than high school,35 or less
17,Female,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",4,Less than high school,35 or less
17,Male,Quebec,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Ontario,High school diploma or a high school equivalency certificate,"Single, never married",2,High school,35 or less
17,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Female,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,British Columbia,"NA","Single, never married",1,No schooling,35 or less
17,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,New Brunswick,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,Ontario,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",4,Less than high school,35 or less
17,Male,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",2,High school,35 or less
17,Female,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Female,Manitoba,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Ontario,High school diploma or a high school equivalency certificate,"Single, never married",3,High school,35 or less
17,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",2,High school,35 or less
17,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Male,New Brunswick,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Alberta,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,British Columbia,High school diploma or a high school equivalency certificate,"Single, never married",2,High school,35 or less
17,Female,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Female,Ontario,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Male,Alberta,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
17,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,Ontario,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
17,Male,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
17,Male,Quebec,Less than high school diploma or its equivalent,Living common-law,1,Less than high school,35 or less
18,Female,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Female,British Columbia,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Female,New Brunswick,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Female,New Brunswick,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Female,Ontario,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Female,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Male,Saskatchewan,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Female,New Brunswick,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",2,Less than high school,35 or less
18,Male,British Columbia,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Male,Nova Scotia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Male,Ontario,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Male,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Male,Prince Edward Island,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Male,Quebec,High school diploma or a high school equivalency certificate,"Single, never married",3,High school,35 or less
18,Male,Saskatchewan,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Female,Alberta,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Female,Manitoba,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Female,Ontario,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Male,Alberta,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Male,British Columbia,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Male,British Columbia,Less than high school diploma or its equivalent,"Single, never married",1,Less than high school,35 or less
18,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
18,Female,Ontario,High school diploma or a high school equivalency certificate,"Single, never married",1,High school,35 or less
